borough,year,month,burglary_count,population,burglary_rate_per_1000,imd_score,population_density
Barking and Dagenham,2019,1,161,214858,0.7493,34.4523,5950.5
Barking and Dagenham,2019,2,129,214858,0.6004,34.4523,5950.5
Barking and Dagenham,2019,3,127,214858,0.5911,34.4523,5950.5
Barking and Dagenham,2019,4,122,214858,0.5678,34.4523,5950.5
Barking and Dagenham,2019,5,134,214858,0.6237,34.4523,5950.5
Barking and Dagenham,2019,6,124,214858,0.5771,34.4523,5950.5
Barking and Dagenham,2019,7,100,214858,0.4654,34.4523,5950.5
Barking and Dagenham,2019,8,102,214858,0.4747,34.4523,5950.5
Barking and Dagenham,2019,9,117,214858,0.5445,34.4523,5950.5
Barking and Dagenham,2019,10,124,214858,0.5771,34.4523,5950.5
Barking and Dagenham,2019,11,142,214858,0.6609,34.4523,5950.5
Barking and Dagenham,2019,12,154,214858,0.7168,34.4523,5950.5
Barking and Dagenham,2020,1,144,218367,0.6594,34.4523,6047.6
Barking and Dagenham,2020,2,139,218367,0.6365,34.4523,6047.6
Barking and Dagenham,2020,3,94,218367,0.4305,34.4523,6047.6
Barking and Dagenham,2020,4,85,218367,0.3893,34.4523,6047.6
Barking and Dagenham,2020,5,58,218367,0.2656,34.4523,6047.6
Barking and Dagenham,2020,6,79,218367,0.3618,34.4523,6047.6
Barking and Dagenham,2020,7,100,218367,0.4579,34.4523,6047.6
Barking and Dagenham,2020,8,85,218367,0.3893,34.4523,6047.6
Barking and Dagenham,2020,9,87,218367,0.3984,34.4523,6047.6
Barking and Dagenham,2020,10,85,218367,0.3893,34.4523,6047.6
Barking and Dagenham,2020,11,107,218367,0.49,34.4523,6047.6
Barking and Dagenham,2020,12,116,218367,0.5312,34.4523,6047.6
Barking and Dagenham,2021,1,89,221495,0.4018,34.4523,6134.3
Barking and Dagenham,2021,2,108,221495,0.4876,34.4523,6134.3
Barking and Dagenham,2021,3,84,221495,0.3792,34.4523,6134.3
Barking and Dagenham,2021,4,85,221495,0.3838,34.4523,6134.3
Barking and Dagenham,2021,5,106,221495,0.4786,34.4523,6134.3
Barking and Dagenham,2021,6,90,221495,0.4063,34.4523,6134.3
Barking and Dagenham,2021,7,80,221495,0.3612,34.4523,6134.3
Barking and Dagenham,2021,8,113,221495,0.5102,34.4523,6134.3
Barking and Dagenham,2021,9,81,221495,0.3657,34.4523,6134.3
Barking and Dagenham,2021,10,119,221495,0.5373,34.4523,6134.3
Barking and Dagenham,2021,11,102,221495,0.4605,34.4523,6134.3
Barking and Dagenham,2021,12,106,221495,0.4786,34.4523,6134.3
Barking and Dagenham,2022,1,96,224407,0.4278,34.4523,6214.9
Barking and Dagenham,2022,2,93,224407,0.4144,34.4523,6214.9
Barking and Dagenham,2022,3,100,224407,0.4456,34.4523,6214.9
Barking and Dagenham,2022,4,94,224407,0.4189,34.4523,6214.9
Barking and Dagenham,2022,5,85,224407,0.3788,34.4523,6214.9
Barking and Dagenham,2022,6,74,224407,0.3298,34.4523,6214.9
Barking and Dagenham,2022,7,62,224407,0.2763,34.4523,6214.9
Barking and Dagenham,2022,8,99,224407,0.4412,34.4523,6214.9
Barking and Dagenham,2022,9,104,224407,0.4634,34.4523,6214.9
Barking and Dagenham,2022,10,103,224407,0.459,34.4523,6214.9
Barking and Dagenham,2022,11,85,224407,0.3788,34.4523,6214.9
Barking and Dagenham,2022,12,105,224407,0.4679,34.4523,6214.9
Barking and Dagenham,2023,1,118,226988,0.5199,34.4523,6286.4
Barking and Dagenham,2023,2,56,226988,0.2467,34.4523,6286.4
Barking and Dagenham,2023,3,87,226988,0.3833,34.4523,6286.4
Barking and Dagenham,2023,4,96,226988,0.4229,34.4523,6286.4
Barking and Dagenham,2023,5,78,226988,0.3436,34.4523,6286.4
Barking and Dagenham,2023,6,91,226988,0.4009,34.4523,6286.4
Barking and Dagenham,2023,7,73,226988,0.3216,34.4523,6286.4
Barking and Dagenham,2023,8,109,226988,0.4802,34.4523,6286.4
Barking and Dagenham,2023,9,124,226988,0.5463,34.4523,6286.4
Barking and Dagenham,2023,10,89,226988,0.3921,34.4523,6286.4
Barking and Dagenham,2023,11,83,226988,0.3657,34.4523,6286.4
Barking and Dagenham,2023,12,73,226988,0.3216,34.4523,6286.4
Barnet,2019,1,314,402363,0.7804,21.0911,4638.3
Barnet,2019,2,336,402363,0.8351,21.0911,4638.3
Barnet,2019,3,333,402363,0.8276,21.0911,4638.3
Barnet,2019,4,293,402363,0.7282,21.0911,4638.3
Barnet,2019,5,298,402363,0.7406,21.0911,4638.3
Barnet,2019,6,295,402363,0.7332,21.0911,4638.3
Barnet,2019,7,283,402363,0.7033,21.0911,4638.3
Barnet,2019,8,238,402363,0.5915,21.0911,4638.3
Barnet,2019,9,277,402363,0.6884,21.0911,4638.3
Barnet,2019,10,294,402363,0.7307,21.0911,4638.3
Barnet,2019,11,322,402363,0.8003,21.0911,4638.3
Barnet,2019,12,345,402363,0.8574,21.0911,4638.3
Barnet,2020,1,300,407148,0.7368,21.0911,4693.4
Barnet,2020,2,289,407148,0.7098,21.0911,4693.4
Barnet,2020,3,226,407148,0.5551,21.0911,4693.4
Barnet,2020,4,127,407148,0.3119,21.0911,4693.4
Barnet,2020,5,159,407148,0.3905,21.0911,4693.4
Barnet,2020,6,166,407148,0.4077,21.0911,4693.4
Barnet,2020,7,189,407148,0.4642,21.0911,4693.4
Barnet,2020,8,242,407148,0.5944,21.0911,4693.4
Barnet,2020,9,250,407148,0.614,21.0911,4693.4
Barnet,2020,10,307,407148,0.754,21.0911,4693.4
Barnet,2020,11,304,407148,0.7467,21.0911,4693.4
Barnet,2020,12,210,407148,0.5158,21.0911,4693.4
Barnet,2021,1,192,411275,0.4668,21.0911,4741.0
Barnet,2021,2,188,411275,0.4571,21.0911,4741.0
Barnet,2021,3,273,411275,0.6638,21.0911,4741.0
Barnet,2021,4,201,411275,0.4887,21.0911,4741.0
Barnet,2021,5,153,411275,0.372,21.0911,4741.0
Barnet,2021,6,189,411275,0.4595,21.0911,4741.0
Barnet,2021,7,157,411275,0.3817,21.0911,4741.0
Barnet,2021,8,167,411275,0.4061,21.0911,4741.0
Barnet,2021,9,181,411275,0.4401,21.0911,4741.0
Barnet,2021,10,216,411275,0.5252,21.0911,4741.0
Barnet,2021,11,220,411275,0.5349,21.0911,4741.0
Barnet,2021,12,202,411275,0.4912,21.0911,4741.0
Barnet,2022,1,244,415041,0.5879,21.0911,4784.4
Barnet,2022,2,200,415041,0.4819,21.0911,4784.4
Barnet,2022,3,219,415041,0.5277,21.0911,4784.4
Barnet,2022,4,173,415041,0.4168,21.0911,4784.4
Barnet,2022,5,223,415041,0.5373,21.0911,4784.4
Barnet,2022,6,192,415041,0.4626,21.0911,4784.4
Barnet,2022,7,190,415041,0.4578,21.0911,4784.4
Barnet,2022,8,166,415041,0.4,21.0911,4784.4
Barnet,2022,9,193,415041,0.465,21.0911,4784.4
Barnet,2022,10,249,415041,0.5999,21.0911,4784.4
Barnet,2022,11,243,415041,0.5855,21.0911,4784.4
Barnet,2022,12,227,415041,0.5469,21.0911,4784.4
Barnet,2023,1,245,418291,0.5857,21.0911,4821.9
Barnet,2023,2,192,418291,0.459,21.0911,4821.9
Barnet,2023,3,230,418291,0.5499,21.0911,4821.9
Barnet,2023,4,216,418291,0.5164,21.0911,4821.9
Barnet,2023,5,176,418291,0.4208,21.0911,4821.9
Barnet,2023,6,138,418291,0.3299,21.0911,4821.9
Barnet,2023,7,213,418291,0.5092,21.0911,4821.9
Barnet,2023,8,182,418291,0.4351,21.0911,4821.9
Barnet,2023,9,173,418291,0.4136,21.0911,4821.9
Barnet,2023,10,195,418291,0.4662,21.0911,4821.9
Barnet,2023,11,231,418291,0.5522,21.0911,4821.9
Barnet,2023,12,214,418291,0.5116,21.0911,4821.9
Bexley,2019,1,172,252885,0.6802,16.055,4174.4
Bexley,2019,2,128,252885,0.5062,16.055,4174.4
Bexley,2019,3,176,252885,0.696,16.055,4174.4
Bexley,2019,4,166,252885,0.6564,16.055,4174.4
Bexley,2019,5,165,252885,0.6525,16.055,4174.4
Bexley,2019,6,130,252885,0.5141,16.055,4174.4
Bexley,2019,7,104,252885,0.4113,16.055,4174.4
Bexley,2019,8,102,252885,0.4033,16.055,4174.4
Bexley,2019,9,103,252885,0.4073,16.055,4174.4
Bexley,2019,10,201,252885,0.7948,16.055,4174.4
Bexley,2019,11,166,252885,0.6564,16.055,4174.4
Bexley,2019,12,140,252885,0.5536,16.055,4174.4
Bexley,2020,1,185,254970,0.7256,16.055,4208.8
Bexley,2020,2,148,254970,0.5805,16.055,4208.8
Bexley,2020,3,83,254970,0.3255,16.055,4208.8
Bexley,2020,4,50,254970,0.1961,16.055,4208.8
Bexley,2020,5,61,254970,0.2392,16.055,4208.8
Bexley,2020,6,57,254970,0.2236,16.055,4208.8
Bexley,2020,7,64,254970,0.251,16.055,4208.8
Bexley,2020,8,59,254970,0.2314,16.055,4208.8
Bexley,2020,9,81,254970,0.3177,16.055,4208.8
Bexley,2020,10,78,254970,0.3059,16.055,4208.8
Bexley,2020,11,90,254970,0.353,16.055,4208.8
Bexley,2020,12,58,254970,0.2275,16.055,4208.8
Bexley,2021,1,39,256845,0.1518,16.055,4239.7
Bexley,2021,2,62,256845,0.2414,16.055,4239.7
Bexley,2021,3,54,256845,0.2102,16.055,4239.7
Bexley,2021,4,60,256845,0.2336,16.055,4239.7
Bexley,2021,5,53,256845,0.2064,16.055,4239.7
Bexley,2021,6,71,256845,0.2764,16.055,4239.7
Bexley,2021,7,63,256845,0.2453,16.055,4239.7
Bexley,2021,8,48,256845,0.1869,16.055,4239.7
Bexley,2021,9,72,256845,0.2803,16.055,4239.7
Bexley,2021,10,51,256845,0.1986,16.055,4239.7
Bexley,2021,11,83,256845,0.3232,16.055,4239.7
Bexley,2021,12,76,256845,0.2959,16.055,4239.7
Bexley,2022,1,51,258607,0.1972,16.055,4268.8
Bexley,2022,2,79,258607,0.3055,16.055,4268.8
Bexley,2022,3,68,258607,0.2629,16.055,4268.8
Bexley,2022,4,49,258607,0.1895,16.055,4268.8
Bexley,2022,5,64,258607,0.2475,16.055,4268.8
Bexley,2022,6,62,258607,0.2397,16.055,4268.8
Bexley,2022,7,43,258607,0.1663,16.055,4268.8
Bexley,2022,8,51,258607,0.1972,16.055,4268.8
Bexley,2022,9,59,258607,0.2281,16.055,4268.8
Bexley,2022,10,92,258607,0.3558,16.055,4268.8
Bexley,2022,11,80,258607,0.3093,16.055,4268.8
Bexley,2022,12,61,258607,0.2359,16.055,4268.8
Bexley,2023,1,60,260232,0.2306,16.055,4295.6
Bexley,2023,2,64,260232,0.2459,16.055,4295.6
Bexley,2023,3,86,260232,0.3305,16.055,4295.6
Bexley,2023,4,102,260232,0.392,16.055,4295.6
Bexley,2023,5,96,260232,0.3689,16.055,4295.6
Bexley,2023,6,58,260232,0.2229,16.055,4295.6
Bexley,2023,7,50,260232,0.1921,16.055,4295.6
Bexley,2023,8,60,260232,0.2306,16.055,4295.6
Bexley,2023,9,50,260232,0.1921,16.055,4295.6
Bexley,2023,10,69,260232,0.2651,16.055,4295.6
Bexley,2023,11,99,260232,0.3804,16.055,4295.6
Bexley,2023,12,104,260232,0.3996,16.055,4295.6
Brent,2019,1,229,340710,0.6721,28.6718,7880.9
Brent,2019,2,207,340710,0.6076,28.6718,7880.9
Brent,2019,3,258,340710,0.7572,28.6718,7880.9
Brent,2019,4,206,340710,0.6046,28.6718,7880.9
Brent,2019,5,216,340710,0.634,28.6718,7880.9
Brent,2019,6,240,340710,0.7044,28.6718,7880.9
Brent,2019,7,167,340710,0.4902,28.6718,7880.9
Brent,2019,8,211,340710,0.6193,28.6718,7880.9
Brent,2019,9,205,340710,0.6017,28.6718,7880.9
Brent,2019,10,224,340710,0.6575,28.6718,7880.9
Brent,2019,11,241,340710,0.7073,28.6718,7880.9
Brent,2019,12,260,340710,0.7631,28.6718,7880.9
Brent,2020,1,229,343853,0.666,28.6718,7953.6
Brent,2020,2,222,343853,0.6456,28.6718,7953.6
Brent,2020,3,141,343853,0.4101,28.6718,7953.6
Brent,2020,4,127,343853,0.3693,28.6718,7953.6
Brent,2020,5,152,343853,0.442,28.6718,7953.6
Brent,2020,6,154,343853,0.4479,28.6718,7953.6
Brent,2020,7,177,343853,0.5148,28.6718,7953.6
Brent,2020,8,196,343853,0.57,28.6718,7953.6
Brent,2020,9,177,343853,0.5148,28.6718,7953.6
Brent,2020,10,209,343853,0.6078,28.6718,7953.6
Brent,2020,11,174,343853,0.506,28.6718,7953.6
Brent,2020,12,137,343853,0.3984,28.6718,7953.6
Brent,2021,1,115,346437,0.332,28.6718,8013.3
Brent,2021,2,146,346437,0.4214,28.6718,8013.3
Brent,2021,3,147,346437,0.4243,28.6718,8013.3
Brent,2021,4,126,346437,0.3637,28.6718,8013.3
Brent,2021,5,161,346437,0.4647,28.6718,8013.3
Brent,2021,6,132,346437,0.381,28.6718,8013.3
Brent,2021,7,156,346437,0.4503,28.6718,8013.3
Brent,2021,8,162,346437,0.4676,28.6718,8013.3
Brent,2021,9,156,346437,0.4503,28.6718,8013.3
Brent,2021,10,191,346437,0.5513,28.6718,8013.3
Brent,2021,11,156,346437,0.4503,28.6718,8013.3
Brent,2021,12,132,346437,0.381,28.6718,8013.3
Brent,2022,1,174,348783,0.4989,28.6718,8067.6
Brent,2022,2,183,348783,0.5247,28.6718,8067.6
Brent,2022,3,153,348783,0.4387,28.6718,8067.6
Brent,2022,4,155,348783,0.4444,28.6718,8067.6
Brent,2022,5,150,348783,0.4301,28.6718,8067.6
Brent,2022,6,141,348783,0.4043,28.6718,8067.6
Brent,2022,7,115,348783,0.3297,28.6718,8067.6
Brent,2022,8,169,348783,0.4845,28.6718,8067.6
Brent,2022,9,162,348783,0.4645,28.6718,8067.6
Brent,2022,10,138,348783,0.3957,28.6718,8067.6
Brent,2022,11,185,348783,0.5304,28.6718,8067.6
Brent,2022,12,157,348783,0.4501,28.6718,8067.6
Brent,2023,1,190,350714,0.5418,28.6718,8112.3
Brent,2023,2,169,350714,0.4819,28.6718,8112.3
Brent,2023,3,154,350714,0.4391,28.6718,8112.3
Brent,2023,4,163,350714,0.4648,28.6718,8112.3
Brent,2023,5,173,350714,0.4933,28.6718,8112.3
Brent,2023,6,160,350714,0.4562,28.6718,8112.3
Brent,2023,7,186,350714,0.5303,28.6718,8112.3
Brent,2023,8,212,350714,0.6045,28.6718,8112.3
Brent,2023,9,170,350714,0.4847,28.6718,8112.3
Brent,2023,10,162,350714,0.4619,28.6718,8112.3
Brent,2023,11,190,350714,0.5418,28.6718,8112.3
Brent,2023,12,187,350714,0.5332,28.6718,8112.3
Bromley,2019,1,283,334292,0.8466,14.2648,2226.6
Bromley,2019,2,225,334292,0.6731,14.2648,2226.6
Bromley,2019,3,276,334292,0.8256,14.2648,2226.6
Bromley,2019,4,185,334292,0.5534,14.2648,2226.6
Bromley,2019,5,228,334292,0.682,14.2648,2226.6
Bromley,2019,6,213,334292,0.6372,14.2648,2226.6
Bromley,2019,7,188,334292,0.5624,14.2648,2226.6
Bromley,2019,8,187,334292,0.5594,14.2648,2226.6
Bromley,2019,9,207,334292,0.6192,14.2648,2226.6
Bromley,2019,10,244,334292,0.7299,14.2648,2226.6
Bromley,2019,11,262,334292,0.7837,14.2648,2226.6
Bromley,2019,12,245,334292,0.7329,14.2648,2226.6
Bromley,2020,1,239,336395,0.7105,14.2648,2240.6
Bromley,2020,2,260,336395,0.7729,14.2648,2240.6
Bromley,2020,3,157,336395,0.4667,14.2648,2240.6
Bromley,2020,4,121,336395,0.3597,14.2648,2240.6
Bromley,2020,5,103,336395,0.3062,14.2648,2240.6
Bromley,2020,6,112,336395,0.3329,14.2648,2240.6
Bromley,2020,7,107,336395,0.3181,14.2648,2240.6
Bromley,2020,8,111,336395,0.33,14.2648,2240.6
Bromley,2020,9,109,336395,0.324,14.2648,2240.6
Bromley,2020,10,132,336395,0.3924,14.2648,2240.6
Bromley,2020,11,140,336395,0.4162,14.2648,2240.6
Bromley,2020,12,127,336395,0.3775,14.2648,2240.6
Bromley,2021,1,119,339466,0.3506,14.2648,2261.1
Bromley,2021,2,102,339466,0.3005,14.2648,2261.1
Bromley,2021,3,149,339466,0.4389,14.2648,2261.1
Bromley,2021,4,124,339466,0.3653,14.2648,2261.1
Bromley,2021,5,117,339466,0.3447,14.2648,2261.1
Bromley,2021,6,129,339466,0.38,14.2648,2261.1
Bromley,2021,7,112,339466,0.3299,14.2648,2261.1
Bromley,2021,8,99,339466,0.2916,14.2648,2261.1
Bromley,2021,9,109,339466,0.3211,14.2648,2261.1
Bromley,2021,10,132,339466,0.3888,14.2648,2261.1
Bromley,2021,11,143,339466,0.4212,14.2648,2261.1
Bromley,2021,12,158,339466,0.4654,14.2648,2261.1
Bromley,2022,1,161,342548,0.47,14.2648,2281.6
Bromley,2022,2,130,342548,0.3795,14.2648,2281.6
Bromley,2022,3,126,342548,0.3678,14.2648,2281.6
Bromley,2022,4,96,342548,0.2803,14.2648,2281.6
Bromley,2022,5,114,342548,0.3328,14.2648,2281.6
Bromley,2022,6,95,342548,0.2773,14.2648,2281.6
Bromley,2022,7,71,342548,0.2073,14.2648,2281.6
Bromley,2022,8,81,342548,0.2365,14.2648,2281.6
Bromley,2022,9,127,342548,0.3708,14.2648,2281.6
Bromley,2022,10,128,342548,0.3737,14.2648,2281.6
